City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
East Northport,103,Unhealthy for Sensitive Groups,5,Good,6,Good,41,Good,103,Unhealthy for Sensitive Groups
Eeklo,36,Good,1,Good,32,Good,3,Good,36,Good
Egypt Lake Leto,72,Moderate,1,Good,16,Good,13,Good,72,Moderate
El Bordo,39,Good,1,Good,3,Good,3,Good,39,Good
El Fuerte,83,Moderate,2,Good,14,Good,3,Good,83,Moderate
El Tigre,53,Moderate,1,Good,13,Good,1,Good,53,Moderate
Elat,103,Unhealthy for Sensitive Groups,1,Good,45,Good,1,Good,103,Unhealthy for Sensitive Groups
Ellington,73,Moderate,2,Good,14,Good,19,Good,73,Moderate
Elmira,65,Moderate,2,Good,6,Good,10,Good,65,Moderate
Encarnacion,61,Moderate,1,Good,28,Good,1,Good,61,Moderate
Encruzilhada Do Sul,26,Good,1,Good,19,Good,0,Good,26,Good
Erwitte,41,Good,1,Good,36,Good,1,Good,41,Good
Eskisehir,54,Moderate,1,Good,34,Good,0,Good,54,Moderate
Everett,67,Moderate,2,Good,17,Good,16,Good,67,Moderate
Farrukhabad,193,Unhealthy,3,Good,166,Unhealthy,1,Good,193,Unhealthy
Fatsa,41,Good,1,Good,34,Good,0,Good,41,Good
Fernandez,69,Moderate,1,Good,12,Good,2,Good,69,Moderate
Festus,51,Moderate,1,Good,42,Good,3,Good,51,Moderate
Fillmore,57,Moderate,2,Good,34,Good,11,Good,57,Moderate
Follonica,41,Good,1,Good,41,Good,2,Good,38,Good
Fontana,81,Moderate,3,Good,7,Good,22,Good,81,Moderate
Forssa,43,Good,1,Good,43,Good,2,Good,38,Good
Kamskiye Polyany,45,Good,1,Good,27,Good,0,Good,45,Good
Kashiba,43,Good,1,Good,43,Good,1,Good,38,Good
Kathor,153,Unhealthy,0,Good,25,Good,0,Good,153,Unhealthy
Katwa,151,Unhealthy,4,Good,151,Unhealthy,2,Good,144,Unhealthy for Sensitive Groups
Kelowna,31,Good,1,Good,31,Good,2,Good,16,Good
Kelso,39,Good,1,Good,22,Good,7,Good,39,Good
Kenitra,49,Good,1,Good,32,Good,6,Good,49,Good
Key Largo,24,Good,0,Good,24,Good,1,Good,19,Good
Khomeynishahr,155,Unhealthy,1,Good,55,Moderate,1,Good,155,Unhealthy
Kiev,36,Good,1,Good,36,Good,2,Good,18,Good
Kineshma,34,Good,1,Good,34,Good,0,Good,23,Good
Kingsburg,39,Good,1,Good,39,Good,3,Good,26,Good
Kisumu,150,Unhealthy,10,Good,28,Good,6,Good,150,Unhealthy
